gene_symbol,log2_fold_change,nominal_p,adjusted_p
ZBTB1,0.3133178280686062,2.6351212233183155e-5,0.00167694465258727
FHL5,1.2119929709902468,2.6388450228639908e-5,0.00167694465258727
OGFR,-0.23335057953757857,2.650244046271929e-5,0.00167694465258727
AKT3,-0.34318139777179724,2.6518975682307956e-5,0.00167694465258727
RIMS1,-0.4517308919627227,2.6647635947770025e-5,0.00168000502416498
TDRKH,-0.3530887369956912,2.7464382509481263e-5,0.00172629726818604
TAB2,1.5036975794467415,2.7776590959762614e-5,0.00174069408796045
CLEC5A,2.164887218463323,2.7889040614193053e-5,0.00174244849426338
SNORA68,1.2489700655514826,2.7971080888275577e-5,0.00174244849426338
BEND5,-0.41256822050008135,2.81350165258187e-5,0.0017473214447686
IQSEC3,-0.4324293991352128,2.8229978863819855e-5,0.0017473214447686
ATP2B1-AS1,-0.5414835383614802,2.831617067634894e-5,0.0017473214447686
INTS6L,-0.2919132387741321,2.8383225417864654e-5,0.0017473214447686
EZR,0.6341166285503164,2.8492684585607584e-5,0.0017489160734937
PLIN4,0.7109580669997673,2.9013353013140097e-5,0.00177566810502349
FAM181B,0.5993268053808878,2.9778529538982235e-5,0.00181190233075708
STXBP4,0.3982603475796011,3.0060868082217115e-5,0.00182377979660546
BCAS3,-0.18452449843549343,3.0362374317942685e-5,0.00183145491887279
GSDMD,0.7611913148480074,3.076071308338904e-5,0.00184987382373074
METTL25B,0.2902438952031403,3.08688196286268e-5,0.00184987382373074
MCHR2,-0.9822739683679672,3.105194662202362e-5,0.00184987382373074
TMX1,0.3876306833666456,3.117038741013785e-5,0.00184987382373074
